studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,germplasmEntryNumber,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,Above ground dry biomass - g|day 154|COMP:0000067,Above ground dry biomass - g|day 178|COMP:0000068,Above ground dry biomass - g|day 199|COMP:0000069,Above ground dry biomass - g|day 217|COMP:0000070,Grain weight - g|CO_350:0005123,Grain yield - g/m2|CO_350:0000260,Lodging severity - 0-9 Rating|CO_350:0005007,Pea above ground dry biomass - g|day 154|COMP:0000083,Pea above ground dry biomass - g|day 178|COMP:0000084,Pea above ground dry biomass - g|day 199|COMP:0000085,Pea above ground dry biomass - g|day 217|COMP:0000086,Pea grain weight - g|COMP:0000009,Pea grain yield - g/m2|COMP:0000049,Pea plant establishment - plants/ft2|COMP:0000052,Pea plant height - cm|day 151|COMP:0000087,Pea plant height - cm|day 176|COMP:0000088,Pea plant height - cm|day 196|COMP:0000089,Pea plant height - cm|day 214|COMP:0000090,Plant establishment - plants/ft2|CO_350:0005124,Plant height - cm|day 151|COMP:0000075,Plant height - cm|day 176|COMP:0000076,Plant height - cm|day 196|COMP:0000077,Plant height - cm|day 214|COMP:0000078,Weed above ground dry biomass - g|day 154|COMP:0000079,Weed above ground dry biomass - g|day 178|COMP:0000080,Weed above ground dry biomass - g|day 199|COMP:0000081,Weed above ground dry biomass - g|day 217|COMP:0000082,notes,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_oat_density_0,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_oat_density_100,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_oat_density_50,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_oat_density_75,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_density_0,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_density_100,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_density_50,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_density_75,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_genotype_AUSTRIAN FIELD PEAS,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_genotype_DS Admiral,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_genotype_Icicle Winter Peas,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_genotype_ND Victory,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_genotype_Organic 4010
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",510804,SD181245,SD181245,,plot,717333,Cornell_OatPeaDensity_2024_Ithaca_1,1,1,1,1,1,check,,,,,,128,37,3,,,,,4,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202123,IL17-7339,17-7339,,plot,717323,Cornell_OatPeaDensity_2024_Ithaca_10,1,1,10,2,1,test,,,,,,28,10,0,,,,,0,0,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202123,IL17-7339,17-7339,,subplot,717354,Cornell_OatPeaDensity_2024_Ithaca_10_subplot_1,1,1,10,2,1,test,,,,329.2,,,,,,,0,,,,0,0,0,0,0,16,16,77,94,99,,,151.4,,,,,1,,1,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202123,IL17-7339,17-7339,,subplot,717355,Cornell_OatPeaDensity_2024_Ithaca_10_subplot_2,1,1,10,2,1,test,,,,,,,,,,,,,,,0,0,0,0,0,18,18,79,87,114,,,,,,,,1,,1,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202123,IL17-7339,17-7339,,subplot,717356,Cornell_OatPeaDensity_2024_Ithaca_10_subplot_3,1,1,10,2,1,test,,25.8,,,,,,,0,,,,,,0,0,0,0,0,8,8,80,77,83,14.9,,,,,,,1,,1,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,plot,717308,Cornell_OatPeaDensity_2024_Ithaca_11,1,1,11,3,1,test,,,,,,174,55,4,,,,,23,7,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717465,Cornell_OatPeaDensity_2024_Ithaca_11_subplot_1,1,1,11,3,1,test,,42.5,,,,,,,2.5,,,,,,5,5,67,73,95,29,29,75,99,101,10.8,,,,,,1,,,,,1,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717466,Cornell_OatPeaDensity_2024_Ithaca_11_subplot_2,1,1,11,3,1,test,,,,,,,,,,,,,,,5,5,74,83,97,12,12,82,105,104,,,,,,,1,,,,,1,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717467,Cornell_OatPeaDensity_2024_Ithaca_11_subplot_3,1,1,11,3,1,test,,,,,248.6,,,,,,,11,,,3,3,71,87,91,7,7,71,103,103,,,,132.3,,,1,,,,,1,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,plot,717316,Cornell_OatPeaDensity_2024_Ithaca_12,1,1,12,3,2,test,,,,,,160,45,4,,,,,12,3,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717495,Cornell_OatPeaDensity_2024_Ithaca_12_subplot_1,1,1,12,3,2,test,,32.2,,,,,,,4,,,,,,5,5,66,87,92,16,16,74,94,106,19.8,,,,,,1,,,,1,,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717496,Cornell_OatPeaDensity_2024_Ithaca_12_subplot_2,1,1,12,3,2,test,,,,,,,,,,,,,,,4,4,78,84,90,25,25,82,106,104,,,,,,,1,,,,1,,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717497,Cornell_OatPeaDensity_2024_Ithaca_12_subplot_3,1,1,12,3,2,test,,,,328.6,,,,,,,47.8,,,,7,7,72,91,85,23,23,88,106,106,,,92.7,,,,1,,,,1,,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,plot,717305,Cornell_OatPeaDensity_2024_Ithaca_13,1,1,13,3,3,test,,,,,,229,74,4,,,,,11,4,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717456,Cornell_OatPeaDensity_2024_Ithaca_13_subplot_1,1,1,13,3,3,test,,,,,305.2,,,,,,,4.4,,,3,3,67,23,39,25,25,79,97,99,,,,96.2,,,1,,,,,1,,,1,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717457,Cornell_OatPeaDensity_2024_Ithaca_13_subplot_2,1,1,13,3,3,test,,,,,,,,,,,,,,,3,3,61,56,57,17,17,81,105,106,,,,,,,1,,,,,1,,,1,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717458,Cornell_OatPeaDensity_2024_Ithaca_13_subplot_3,1,1,13,3,3,test,,18.5,,,,,,,2.6,,,,,,3,3,64,63,51,12,12,80,98,112,17.1,,,,,,1,,,,,1,,,1,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202018,IL17-1253,17-1253,,plot,717315,Cornell_OatPeaDensity_2024_Ithaca_14,1,1,14,3,4,test,,,,,,40,12,1,,,,,20,6,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202018,IL17-1253,17-1253,,subplot,717489,Cornell_OatPeaDensity_2024_Ithaca_14_subplot_1,1,1,14,3,4,test,,,,252.5,,,,,,,13.7,,,,2,2,84,91,99,9,9,86,90,100,,,175.5,,,,1,,,,1,,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202018,IL17-1253,17-1253,,subplot,717490,Cornell_OatPeaDensity_2024_Ithaca_14_subplot_2,1,1,14,3,4,test,,,,,,,,,,,,,,,4,4,79,83,83,24,24,81,92,103,,,,,,,1,,,,1,,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202018,IL17-1253,17-1253,,subplot,717491,Cornell_OatPeaDensity_2024_Ithaca_14_subplot_3,1,1,14,3,4,test,,50.5,,,,,,,5.4,,,,,,11,11,73,88,80,23,23,82,90,93,9.8,,,,,,1,,,,1,,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",703605,NO_OATS_PLANTED,,,plot,717342,Cornell_OatPeaDensity_2024_Ithaca_15,1,1,15,3,5,test,,,,,,2,1,0,,,,,40,15,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",703605,NO_OATS_PLANTED,,,subplot,717417,Cornell_OatPeaDensity_2024_Ithaca_15_subplot_1,1,1,15,3,5,test,,,,,6.6,,,,,,,47.6,,,2,2,71,95,106,0,0,60,87,0,,,,358.4,,1,,,,,1,,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",703605,NO_OATS_PLANTED,,,subplot,717418,Cornell_OatPeaDensity_2024_Ithaca_15_subplot_2,1,1,15,3,5,test,,,,,,,,,,,,,,,7,7,76,95,95,0,0,79,97,0,,,,,,1,,,,,1,,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",703605,NO_OATS_PLANTED,,,subplot,717419,Cornell_OatPeaDensity_2024_Ithaca_15_subplot_3,1,1,15,3,5,test,,,0,,,,,,,28.8,,,,,4,4,68,85,89,0,0,58,90,0,,140.8,,,,1,,,,,1,,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",97779,OGLE,"03C0700697,IL 73-2664,IL73-2664,Illinois 73-2664,Ogle,OGLE (ck),RL 1475,TLVA5829,TLVA5908,W87678",,plot,717330,Cornell_OatPeaDensity_2024_Ithaca_16,1,1,16,4,5,check,,,,,,156,49,0,,,,,15,5,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",97779,OGLE,"03C0700697,IL 73-2664,IL73-2664,Illinois 73-2664,Ogle,OGLE (ck),RL 1475,TLVA5829,TLVA5908,W87678",,subplot,717396,Cornell_OatPeaDensity_2024_Ithaca_16_subplot_1,1,1,16,4,5,check,,70.3,,,,,,,5.1,,,,,,7,7,50,63,52,26,26,88,107,107,12.6,,,,,,,,1,,,,1,,,,1,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",97779,OGLE,"03C0700697,IL 73-2664,IL73-2664,Illinois 73-2664,Ogle,OGLE (ck),RL 1475,TLVA5829,TLVA5908,W87678",,subplot,717397,Cornell_OatPeaDensity_2024_Ithaca_16_subplot_2,1,1,16,4,5,check,,,,,,,,,,,,,,,1,1,49,52,55,31,31,99,107,111,,,,,,,,,1,,,,1,,,,1,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",97779,OGLE,"03C0700697,IL 73-2664,IL73-2664,Illinois 73-2664,Ogle,OGLE (ck),RL 1475,TLVA5829,TLVA5908,W87678",,subplot,717398,Cornell_OatPeaDensity_2024_Ithaca_16_subplot_3,1,1,16,4,5,check,,,,231.9,,,,,,,14.3,,,,10,10,55,70,61,27,27,86,113,103,,,189.6,,,,,,1,,,,1,,,,1,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",510819,MN18038X_008,"MN-18038X-008,MN18038X-008,MN18038X008",,plot,717347,Cornell_OatPeaDensity_2024_Ithaca_17,1,1,17,4,4,check,,,,,,90,26,3,,,,,36,11,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",510819,MN18038X_008,"MN-18038X-008,MN18038X-008,MN18038X008",,subplot,717429,Cornell_OatPeaDensity_2024_Ithaca_17_subplot_1,1,1,17,4,4,check,,,187.5,,,,,,,26.5,,,,,3,3,56,91,91,9,9,85,113,112,,77.6,,,,,,,1,,,,1,,,,,1
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",510819,MN18038X_008,"MN-18038X-008,MN18038X-008,MN18038X008",,subplot,717430,Cornell_OatPeaDensity_2024_Ithaca_17_subplot_2,1,1,17,4,4,check,,,,,,,,,,,,,,,3,3,77,90,93,13,13,86,109,111,,,,,,,,,1,,,,1,,,,,1
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",510819,MN18038X_008,"MN-18038X-008,MN18038X-008,MN18038X008",,subplot,717431,Cornell_OatPeaDensity_2024_Ithaca_17_subplot_3,1,1,17,4,4,check,,,,322.4,,,,,,,63.4,,,,6,6,82,87,88,19,19,87,110,105,,,69.2,,,,,,1,,,,1,,,,,1
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,plot,717343,Cornell_OatPeaDensity_2024_Ithaca_18,1,1,18,4,3,test,,,,,,217,57,3,,,,,36,9,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717420,Cornell_OatPeaDensity_2024_Ithaca_18_subplot_1,1,1,18,4,3,test,,,,,255.3,,,,,,,19.4,,,11,11,66,54,61,15,15,80,100,97,,,,142.4,,,,1,,,1,,,,1,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717421,Cornell_OatPeaDensity_2024_Ithaca_18_subplot_2,1,1,18,4,3,test,,,,,,,,,,,,,,,10,10,57,65,53,11,11,79,100,105,,,,,,,,1,,,1,,,,1,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717422,Cornell_OatPeaDensity_2024_Ithaca_18_subplot_3,1,1,18,4,3,test,,,149.2,,,,,,,18.2,,,,,3,3,63,60,60,8,8,78,97,101,,100.9,,,,,,1,,,1,,,,1,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202123,IL17-7339,17-7339,,plot,717340,Cornell_OatPeaDensity_2024_Ithaca_19,1,1,19,4,2,test,,,,,,35,10,0,,,,,5,1,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202123,IL17-7339,17-7339,,subplot,717408,Cornell_OatPeaDensity_2024_Ithaca_19_subplot_1,1,1,19,4,2,test,,40.4,,,,,,,3.5,,,,,,1,1,39,55,44,24,24,76,78,84,20.7,,,,,,1,,,,,1,,,1,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202123,IL17-7339,17-7339,,subplot,717409,Cornell_OatPeaDensity_2024_Ithaca_19_subplot_2,1,1,19,4,2,test,,,,,,,,,,,,,,,5,5,43,50,49,32,32,72,71,87,,,,,,,1,,,,,1,,,1,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202123,IL17-7339,17-7339,,subplot,717410,Cornell_OatPeaDensity_2024_Ithaca_19_subplot_3,1,1,19,4,2,test,,,,,219.4,,,,,,,9.1,,,9,9,39,31,48,38,38,64,69,79,,,,108.5,,,1,,,,,1,,,1,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",510804,SD181245,SD181245,,subplot,717381,Cornell_OatPeaDensity_2024_Ithaca_1_subplot_1,1,1,1,1,1,check,,,,,317.6,,,,,,,4,,,2,2,55,88,86,34,34,85,124,124,,,,154,,,,,1,,,,1,,,1,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",510804,SD181245,SD181245,,subplot,717382,Cornell_OatPeaDensity_2024_Ithaca_1_subplot_2,1,1,1,1,1,check,,,,,,,,,,,,,,,2,2,66,48,48,28,28,77,122,123,,,,,,,,,1,,,,1,,,1,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",510804,SD181245,SD181245,,subplot,717383,Cornell_OatPeaDensity_2024_Ithaca_1_subplot_3,1,1,1,1,1,check,,,260.6,,,,,,,0.5,,,,,0,0,66,69,84,11,11,84,126,120,,89.6,,,,,,,1,,,,1,,,1,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202018,IL17-1253,17-1253,,plot,717326,Cornell_OatPeaDensity_2024_Ithaca_2,1,1,2,1,2,test,,,,,,173,47,3,,,,,29,8,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,
